2.012,3.95,0.22
2.15,3.961,0.19
2.30,3.959,0.20
2.45,3.977,0.15
2.60,3.992,0.09
2.75,3.996,0.06
2.90,3.992,0.09
3.05,4.789,0.41
3.20,4.551,0.50
3.35,4.913,0.29
3.50,4.881,0.33
3.65,4.69,0.46
3.80,4.879,0.33
3.95,4.857,0.35
4.10,4.94,0.24
4.25,4.941,0.24
4.40,4.937,0.25
4.55,4.951,0.22
4.70,4.959,0.20
4.85,4.971,0.17
5.00,4.964,0.19
5.15,4.976,0.15
5.30,4.983,0.13
5.45,4.989,0.10
5.60,5.933,0.25
5.75,5.9,0.30
5.90,5.982,0.13
6.05,5.989,0.10
6.20,5.992,0.09
6.35,5.985,0.12
6.50,5.99,0.10
6.65,5.985,0.12
6.80,5.985,0.12
6.95,5.982,0.13
7.10,5.984,0.13
7.25,5.98,0.15
7.40,5.991,0.09
7.55,5.987,0.11
7.70,5.985,0.12
7.85,5.984,0.13
8.00,5.984,0.13
8.15,5.985,0.12
8.30,5.988,0.11
8.45,5.987,0.11
8.60,5.985,0.12
8.75,5.986,0.12
8.90,5.993,0.08
9.05,5.984,0.13
9.20,5.983,0.13
9.35,5.989,0.10
9.50,5.987,0.11
9.65,5.984,0.13
9.80,5.987,0.11
9.95,5.989,0.10
