5.0,3.95,18.605,1.49
5.0,4.10,18.998,1.57
5.0,4.25,18.991,1.60
5.0,4.40,19.09,1.48
5.0,4.55,18.575,1.49
5.0,4.70,18.372,1.41
5.0,4.85,18.454,1.70
5.0,5.00,18.976,1.55
5.0,5.15,18.41,1.56
5.0,5.30,18.978,1.45
5.0,5.45,18.486,1.49
5.0,5.60,20.12,1.48
5.0,5.75,19.934,1.41
5.0,5.90,20.953,1.59
5.0,6.05,20.147,1.63
5.0,6.20,19.299,1.37
5.0,6.35,19.994,1.61
5.0,6.50,20.729,1.66
5.0,6.65,20.583,1.42
5.0,6.80,21.097,1.41
5.0,6.95,22.021,1.40
5.0,7.10,21.05,1.33
5.0,7.25,20.849,1.24
5.0,7.40,21.323,1.26
5.0,7.55,21.436,1.20
5.0,7.70,20.531,1.20
5.0,7.85,20.979,1.16
5.0,8.00,22.132,1.52
5.0,8.15,22.37,1.20
5.0,8.30,21.646,1.83
5.0,8.45,22.365,1.34
5.0,8.60,22.039,1.29
5.0,8.75,22.125,1.24
5.0,8.90,21.884,1.25
5.0,9.05,21.341,1.68
5.0,9.20,21.662,1.17
5.0,9.35,21.442,1.35
5.0,9.50,22.339,1.20
5.0,9.65,21.155,1.15
5.0,9.80,21.724,1.19
5.0,9.95,21.693,1.00
