2.012,14.39,1.32
2.15,14.254,1.30
2.30,14.397,1.35
2.45,14.262,1.25
2.60,14.218,1.51
2.75,14.268,1.23
2.90,13.845,1.38
3.05,13.454,1.56
3.20,13.429,1.51
3.35,14.441,1.36
3.50,14.288,1.38
3.65,15.046,1.46
3.80,12.984,1.50
3.95,14.11,1.38
4.10,14.696,1.68
4.25,14.965,1.62
4.40,15.131,1.55
4.55,14.29,1.48
4.70,15.084,1.39
4.85,13.808,1.37
5.00,15.023,1.37
5.15,14.694,1.31
5.30,14.698,1.59
5.45,14.952,1.23
5.60,15.251,1.50
5.75,15.326,1.41
5.90,16.444,1.65
6.05,16.055,1.25
6.20,15.672,1.24
6.35,15.755,1.45
6.50,16.265,1.36
6.65,16.458,1.40
6.80,16.995,1.41
6.95,17.796,1.66
7.10,16.827,1.45
7.25,16.087,1.39
7.40,17.205,1.36
7.55,16.911,1.56
7.70,16.071,1.33
7.85,16.882,1.43
8.00,16.904,1.51
8.15,17.918,1.56
8.30,16.843,1.62
8.45,17.133,1.59
8.60,16.937,1.55
8.75,16.796,1.61
8.90,16.786,1.58
9.05,16.069,1.52
9.20,16.711,1.68
9.35,16.102,1.24
9.50,17.217,1.38
9.65,15.587,1.40
9.80,17.149,1.48
9.95,16.815,1.47
