2.012,3.993,0.08
2.15,3.998,0.04
2.30,3.993,0.08
2.45,3.996,0.06
2.60,3.999,0.03
2.75,4.0,0.00
2.90,4.0,0.00
3.05,4.85,0.36
3.20,4.58,0.49
3.35,4.947,0.22
3.50,4.921,0.27
3.65,4.724,0.45
3.80,4.911,0.28
3.95,4.884,0.32
4.10,4.981,0.14
4.25,4.994,0.08
4.40,4.986,0.12
4.55,4.995,0.07
4.70,4.997,0.05
4.85,4.999,0.03
5.00,4.994,0.08
5.15,4.994,0.08
5.30,4.998,0.04
5.45,4.999,0.03
5.60,5.941,0.24
5.75,5.912,0.28
5.90,5.99,0.10
6.05,6.0,0.00
6.20,6.0,0.00
6.35,5.999,0.03
6.50,6.0,0.00
6.65,6.0,0.00
6.80,5.999,0.03
6.95,5.997,0.05
7.10,5.999,0.03
7.25,5.997,0.05
7.40,5.999,0.03
7.55,5.999,0.03
7.70,5.999,0.03
7.85,5.999,0.03
8.00,6.0,0.00
8.15,5.998,0.04
8.30,5.999,0.03
8.45,6.0,0.00
8.60,5.998,0.04
8.75,5.999,0.03
8.90,5.998,0.04
9.05,5.999,0.03
9.20,5.999,0.03
9.35,5.999,0.03
9.50,6.0,0.00
9.65,6.0,0.00
9.80,5.999,0.03
9.95,5.999,0.03
