text	citation	standard_citation	citation_id
@doi:10.1074/jbc.M113.452540	doi:10.1074/jbc.M113.452540	doi:10.1074/jbc.m113.452540	UZnjanSP
@doi:10.1111/plb.12025	doi:10.1111/plb.12025	doi:10.1111/plb.12025	GRHWCLng
@doi:10.1152/physrev.00028.2012	doi:10.1152/physrev.00028.2012	doi:10.1152/physrev.00028.2012	cdNlk5wh
